# Pathway	SRR12395643	SRR12395644	SRR12395645	SRR12395646	SRR12395647	SRR12395648	SRR12395649	SRR12395650	SRR12395651	SRR12395652	SRR12395653	SRR12395654	SRR12395655	SRR12395656	SRR12395657	SRR12395658	SRR12395659	SRR12395660	SRR12395661	SRR12395662	SRR12395663	SRR12395664	SRR12395665	SRR12395666	SRR12395667	SRR12395668	SRR12395669	SRR12395670	SRR12395671	SRR12395672	SRR12395673	SRR12395674	SRR12395675	SRR12395676	SRR12395677	SRR12395678	SRR12395679	SRR12395680	SRR12395681	SRR12395682	SRR12395683	SRR12395684	SRR12395685	SRR12395686	SRR12395687	SRR12395688	SRR12395689	SRR12395690	SRR12395691	SRR12395692	SRR12395693	SRR12395694	SRR12395695	SRR12395696	SRR12395697	SRR12395698	SRR12395699	SRR12395700	SRR12395701	SRR12395702	SRR12395703
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	160.145	393.276	301.648	95.1562	68.6994	98.9262	120.047	101.394	121.806	103.576	135.226	74.3599	84.0663	230.273	82.9354	107.065	156.539	228.858	151.359	87.5841	116.836	154.359	280.53	289.423	138.988	281.563	217.649	101.923	148.106	129.421	107.268	187.623	182.025	217.662	79.4849	172.899	220.143	200.092	358.32	223.28	124.456	148.454	22.0451	54.155	195.009	193.874	89.8275	89.4948	221.983	210.811	105.373	291.911	88.3952	163.235	191.25	212.313	80.4127	121.675	161.422	209.812	201.643
PWY-7221: guanosine ribonucleotides de novo biosynthesis	506.599	578.327	541.523	475.163	514.42	485.776	440.617	470.131	340.836	485.767	501.681	601.022	340.541	460.713	392.473	391.411	314.845	444.52	499.247	440.963	435.885	473.467	460.742	491.587	454.001	458.72	305.862	385.149	534.661	448.693	486.513	487.366	518.069	353.612	441.413	521.463	513.764	534.99	402.473	321.44	480.195	321.177	472.921	396.745	302.365	334.665	517.254	442.97	508.214	458.105	533.276	545.669	550.625	315.973	541.52	486.913	500.142	471.074	426.098	244.569	429.071
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	160.145	393.276	301.648	95.1562	68.6994	98.9262	120.047	101.394	121.806	103.576	135.226	74.3599	84.0663	230.273	82.9354	107.065	156.539	228.858	151.359	87.5841	116.836	154.359	280.53	289.423	138.988	281.563	217.649	101.923	148.106	129.421	107.268	187.623	182.025	217.662	79.4849	172.899	220.143	200.092	358.32	223.28	124.456	148.454	22.0451	54.155	195.009	193.874	89.8275	89.4948	221.983	210.811	105.373	291.911	88.3952	163.235	191.25	212.313	80.4127	121.675	161.422	209.812	201.643
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	245.277	185.276	365.041	159.749	121.635	165.225	189.698	167.456	180.346	171.648	214.376	132.749	136.03	310.902	137.708	169.684	211.891	304.577	233.478	146.711	185.655	234.918	352.743	369.14	214.538	358.114	256.782	161.979	233.694	202.236	176.795	273.859	272.875	272.238	135.62	262.802	312.287	293.882	387.848	267.287	199.045	204.939	42.1434	95.6346	241.762	246.953	153.705	149.76	311.611	293.829	177.017	387.15	152.913	217.766	284.5	298.174	139.004	194.975	236.118	231.262	276.81
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	344.806	464.994	390.48	252.947	202.732	255.071	276.534	253.442	230.182	251.03	309.349	208.983	207.561	413.077	210.057	257.626	270.782	381.014	330.031	225.602	273.521	331.292	413.434	445.94	310.629	402.063	294.735	243.902	335.832	285.95	267.076	384.07	370.366	318.887	217.051	342.226	413.353	400.014	419.825	309.221	300.692	266.784	75.0366	159.281	303.457	250.405	240.224	226.867	406.864	372.176	271.687	496.006	236.758	281.236	385.605	396.503	217.676	280.051	339.363	266.364	355.856
PWY-722: nicotinate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.01155
PWY-7234: inosine-5'-phosphate biosynthesis III	191.663	228.395	270.987	154.812	142.383	158.792	164.159	117.694	191.761	44.5839	128.331	57.3861	157.647	130.397	111.111	184.518	176.534	80.2394	194.432	143.441	117.173	161.89	114.422	86.1991	97.8219	74.7683	203.733	163.891	140.301	134.102	123.326	131.813	41.6	156.613	102.807	188.031	149.073	120.691	292.047	231.741	123.185	185.549	206.468	126.756	241.896	222.365	109.45	106.946	190.814	108.861	58.5251	64.1403	34.3594	177.75	218.985	225.956	120.238	182.666	156.891	194.834	204.53
PWY-7235: superpathway of ubiquinol-6 biosynthesis (late decarboxylation)	0	0	0	0	7.7782	0	0	0	0	9.03681	0	0	0	0	0	0	0	0	2.941	0	1.60606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.892542	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7237: myo-, chiro- and scillo-inositol degradation	0	278.456	238.826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7237: myo-, chiro- and scyllo-inositol degradation	164.248	0	0	146.799	203.1	180.81	194.523	332.237	123.776	263.594	254.299	410.418	143.349	292.796	162.561	176.339	153.326	280.765	266.531	176.559	154.788	242.559	243.561	313.306	199.742	454.535	87.601	212.966	284.353	175.272	247.948	256.74	285.402	72.9376	207.881	163.701	153.572	204.763	415.261	68.834	183.615	110.231	191.924	187.128	188.921	128.892	245.239	172.319	253.385	223.229	187.04	160.206	384.073	115.177	190.733	152.771	275.593	264.222	271.999	181.084	123.976
PWY-7242: D-fructuronate degradation	74.2046	83.4265	54.8651	57.8193	19.0353	71.6037	65.1169	92.2739	123.161	35.5194	85.7088	40.3056	87.4757	98.7149	79.1628	60.257	106.739	64.7828	82.7391	97.16	25.3446	80.5758	59.1809	50.9161	87.2395	39.902	156.239	124.176	70.5308	82.0207	75.6435	62.9183	60.6678	68.5904	94.8541	27.0187	33.0339	60.6387	234.004	121.894	54.1762	66.2396	24.2347	67.8286	36.3932	149.97	64.5933	51.449	52.6707	55.9292	56.1525	36.0595	60.7848	106.121	62.8786	50.996	80.9993	103.832	136.633	26.2405	145.916
PWY-7245: superpathway of NAD/NADP - NADH/NADPH interconversion (yeast)	0	0	0	0	3.5754	0	0	0	0	0	0	0	0	0	0	14.2152	0	0	0	0	0	0	0	0	0	0	2.49193	0	0	0	0	0	0	0	1.3458	0	0	0	0	7.12472	0	0	0	0	112.804	16.3997	0	0	0	5.77514	0	0	0	0	0	0	0	0	0	0	1.18656
PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	383.441	395.163	369.225	333.309	348.431	344.761	328.483	293.354	246.499	354.733	347.374	254.669	300.209	375.958	256.067	279.548	238.341	324.088	322.717	294.457	287.196	321.793	305.687	349.62	319.025	253.474	249.063	286.2	339.186	313.193	317.8	360.554	405.899	244.325	307.684	327.232	410.752	413.135	255.065	281.514	353.489	274.442	255.73	289.094	276.633	324.249	334.857	309.99	372.682	351.731	369.277	437.872	316.562	280.413	391.171	307.486	374.097	392.455	327.427	238.562	262.079
PWY-7254: TCA cycle VII (acetate-producers)	17.6722	1.58238	19.0782	3.63166	6.8382	1.70874	37.6223	0	251.819	3.30863	5.65917	3.4548	160.814	90.2416	16.8969	44.7461	126.241	66.4402	48.9743	5.10162	14.3563	17.662	0	5.31478	0.933809	1.2928	198.211	101.304	1.12999	0	22.6509	0	0	119.841	0.923317	14.3178	6.128	0.863462	28.6318	138.431	0	139.632	0	128.037	157.436	370.238	27.2747	43.991	0	14.8498	2.70444	11.1219	3.58617	171.717	6.28743	1.37881	13.7038	87.6936	53.1226	157.553	53.9026
PWY-7268: NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)	0	0	0.681163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7268: cytosolic NADPH production (yeast)	0	0	0	0	11.0407	1.28606	0	0	0	10.4892	0	0	0	0	0	21.2002	0	0	3.23511	0	0	0	0	0	0	0	1.88613	0	0	0	0	0	0	0	2.18927	0	0	0	0	104.018	0	0	0	18.7621	210.522	16.2733	0	0	1.36036	8.82467	0	0	0	0	0	0	0	0	0	0	0.901522
PWY-7269: NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)	0	0	0.454533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7269: mitochondrial NADPH production (yeast)	0	0	0	0	7.45156	0.858502	3.24129	0	19.3865	7.08219	0	0	0	23.2309	0	14.7594	64.7198	0	2.16547	0	0	0	0	0	1.19665	0	108.533	15.5348	0	0	0	0	0	0	1.67644	1.69446	0	0	0	77.7885	0	0	0	12.6578	195.951	31.5784	0	1.22563	0.908202	6.49608	0	1.91905	0	1.05288	0	0	8.51787	35.4449	10.0342	62.4963	43.4683
PWY-7279: aerobic respiration II (cytochrome c) (yeast)	0	2.70214	24.0108	0	0	0	0	0	0	0	0	0	0	15.3942	0	0	0	0	0	0	0	0	0	0	0	0	0	8.68973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II	222.092	0	0	204.634	181.557	193.08	221.428	129.759	253.383	166.435	174.278	114.584	260.24	179.823	127.492	115.56	185.554	162.156	161.125	146.231	133.872	141.709	160.224	206.251	199.489	338.179	275.636	170.351	191.873	188.257	179.094	229.894	278.353	164.373	207.829	221.151	212.024	237.248	141.494	221.058	177.04	214.682	127.807	186.353	177.545	372.225	160.575	167.727	166.217	260.03	191.938	274.608	85.8199	256.89	233.373	137.19	157.579	190.84	218.9	117.652	213.497
PWY-7282: 4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)	0	211.038	207.641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7286: 7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	0.527031	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404456	3.53159	0.398748	0	0	1.19028	1.90422	0	0	0	0	0	0	0	0	0	2.59287	0	0	0	0	0	3.85588	0	0	0	0	0	0	0.673286	0	0	0	10.1959	0	0	1.11304	0	0	0	0	0	5.98057	0	0	1.69171	0
PWY-7288: fatty acid &beta;-oxidation (peroxisome, yeast)	0	1.18591	15.8641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7288: fatty acid &beta;-oxidation VII (yeast peroxisome)	0	0	0	0	0	0	0	0	0	0	0	0	0.315143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.629814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.88404	0	0
PWY-7294: D-xylose degradation IV	0	0	0	0	2.25569	0	0	0	0	0	0	0	26.3155	0	1.13726	0	0	0	0	0	0	0	0	0	0	0	37.0598	0	0.480191	0	0	0	0	0	0	2.55514	0.669665	0	0	0	0	31.4793	0	0	0	0	2.52399	0	0	0	0	0	0	41.6459	0	0	2.69155	0	0	2.70311	0
PWY-7312: dTDP-&beta;-D-fucofuranose biosynthesis	6.60688	0	0	28.4702	0.557573	3.6101	34.6926	18.8439	0	0.474793	6.29785	8.76698	0	28.6864	22.3984	0.617695	0	0	0	1.38329	12.6641	0	0	0	0	0	0	9.91903	27.2986	11.2184	13.0392	159.198	0	0	45.3677	0	7.65116	18.723	0	0	18.1291	0	0	0.931144	0	0	3.87548	0	47.8694	0	100.445	53.1155	2.46557	27.2268	201.589	0	5.17253	25.0639	0.559578	2.31056	191.428
PWY-7315: dTDP-N-acetylthomosamine biosynthesis	44.347	68.1695	6.99996	23.2301	13.1303	20.3645	46.6268	42.8183	92.2823	24.2475	40.3089	18.4472	23.8779	32.8892	10.9615	34.832	88.0343	61.3192	42.0087	17.2924	19.8265	40.757	35.7445	42.9625	40.5248	168.576	140.501	34.3073	25.1815	15.5058	34.5483	0	0	27.2895	6.80321	19.2082	77.1601	42.1094	248.112	43.4343	11.7768	25.1377	73.1793	45.0182	109.975	119.563	18.8885	43.6221	5.04427	10.8527	7.49651	6.47043	17.3454	31.1411	0.469169	2.398	35.7028	54.0098	15.4038	99.3393	91.1342
PWY-7316: dTDP-N-acetylviosamine biosynthesis	6.21904	71.9341	4.50928	4.95384	9.58256	8.42699	18.3059	5.60397	28.5468	68.0798	3.20055	40.0642	4.88075	16.4038	10.8575	12.0132	8.97759	36.4747	21.5584	3.96394	1.83566	0	60.0641	65.9566	44.4826	3.78769	2.40782	0	15.7001	52.7676	9.54543	28.5541	3.16833	0	5.47277	25.4766	18.3463	14.2649	50.4802	10.9321	7.27471	11.9932	83.804	2.18083	29.7754	2.82848	12.9892	4.03258	9.00981	0	10.1958	1.60354	3.95069	8.86662	2.6993	32.4818	0	4.15093	1.9454	46.0146	0
PWY-7317: superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	0	0	0	0.943461	0	0	0	0	0	0.792903	0.721614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.3832	0	5.92203	0	0	2.08547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.18081	0	0	3.76886	0	0	0	0	0	0	0
PWY-7323: superpathway of GDP-mannose-derived O-antigen building blocks biosynthesis	192.641	134.131	184.531	174.215	117.499	87.1058	140.598	125.914	202.079	108.292	123.508	68.6869	166.359	133.014	126.184	74.1375	154.089	143.747	143.264	154.509	107.784	136.005	86.0456	111.478	152.049	274.526	200.225	116.271	114.505	135.58	130.246	95.7306	151.063	137.423	122.385	91.3626	161.963	152.979	84.7142	122.238	124.495	162.397	29.3925	175.342	107.539	213.545	102.769	123.276	92.9866	102.172	165.895	51.5878	70.0226	182.034	89.912	145.218	99.1731	100.1	167.552	103.587	160.951
PWY-7328: superpathway of UDP-glucose-derived O-antigen building blocks biosynthesis	2.80571	14.5445	9.38887	13.5877	56.3404	12.3945	34.7731	7.06788	138.225	5.58793	18.2781	15.0688	105.182	51.3533	7.74955	18.8354	120.135	36.5534	20.2744	5.23174	8.96305	17.2403	12.9492	0.810397	1.77732	0.998816	118.724	42.5643	3.5815	2.05742	4.55154	1.56594	13.5365	121.875	6.18	7.16698	7.41881	5.21193	198.245	132.257	4.38858	82.8084	28.5908	98.1547	95.8618	27.1422	6.30208	16.4622	15.9732	3.45783	12.3376	11.4011	17.169	118.267	8.43827	10.7931	16.4545	55.8566	18.2834	133.874	112.007
PWY-7332: superpathway of UDP-N-acetylglucosamine-derived O-antigen building blocks biosynthesis	14.846	4.66519	0	58.6385	19.3076	32.5857	79.4612	31.0868	17.3008	89.4165	11.5275	23.0925	31.3903	0	30.2259	54.9562	7.51785	24.5867	42.8378	69.9398	27.233	11.4198	0	19.1944	56.3757	6.31018	4.55346	39.0263	55.008	18.886	26.2539	113.938	75.9464	19.9636	55.1336	40.0101	98.6477	68.6982	90.9354	15.6281	59.3985	26.1267	147.796	115.861	4.35095	15.1241	23.5916	69.8967	75.6865	0	107.719	0	14.8672	75.1083	66.3128	19.486	17.2848	46.8928	37.7897	94.2636	150.35
PWY-7337: 10-cis-heptadecenoyl-CoA degradation (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0.361772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90364	0	0
PWY-7338: 10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0.361772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.730886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.90364	0	0
PWY-7357: thiamin formation from pyrithiamine and oxythiamine (yeast)	0	301.083	212.988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)	302.974	0	0	236.522	291.652	290.968	254.825	230.244	186.935	317.996	296.781	342.729	227.924	312.283	260.024	183.328	176.908	249.176	293.97	195.031	182.092	263.123	228.431	224.28	248.313	338.222	199.409	231.812	319.908	242.982	257.383	269.39	253.433	160.747	234.119	242.171	208.206	278.006	105.432	167.696	241.693	195.192	288.904	199.392	175.724	219.974	286.979	205.158	305.47	244.052	229.663	224.38	343.063	206.622	236.804	240.693	291.577	295.623	269.893	172.475	154.773
PWY-7371: 1,4-dihydroxy-6-naphthoate biosynthesis II	4.69036	16.5453	2.51606	14.6208	13.2258	1.75785	14.6483	7.96926	0.753681	11.9493	4.79014	0	0	0	5.23278	18.4337	0.283957	0	22.869	7.0721	17.8288	19.5069	0	18.7221	19.8188	0	0.899975	7.12096	2.99988	20.3932	15.3188	33.3802	0	2.02988	1.9014	7.7692	36.4371	3.15111	9.33448	1.46074	4.08646	4.59629	0	0	16.0969	0	6.28786	4.76104	14.5637	0	7.17379	0	4.97174	2.93267	6.59954	4.42932	5.29843	0.515598	9.88651	1.26502	1.92682
PWY-7374: 1,4-dihydroxy-6-naphthoate biosynthesis I	0	0	0	0	0.555469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.937276	2.11133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	179.575	77.7289	48.2535	37.6411	130.076	63.1305	70.7863	56.171	61.5165	134.84	63.5169	71.8398	59.9485	4.098	75.5016	66.1314	76.5221	18.6763	118.416	102.695	76.645	56.7891	52.1413	31.0758	31.6035	4.53762	4.16418	37.0984	101.874	137.648	159.843	51.2829	9.08342	106.611	75.009	148.306	55.3833	8.47383	65.2597	32.3445	24.1234	34.3745	40.8607	147.624	47.6924	0	106.277	124.754	34.7533	22.7598	119.344	0	73.459	28.9804	25.4998	67.6766	106.304	9.16776	36.1159	88.4132	107.921
PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)	0.761913	0	0.992057	2.12069	24.6986	3.60054	17.7794	14.0446	13.5907	11.0061	9.89369	6.12119	7.55104	13.1428	2.14634	21.7107	19.4593	27.6597	8.8724	2.28327	39.9327	11.9882	0	5.04575	4.22302	0	17.3685	41.1603	12.4762	0	0	0	5.05494	35.6496	6.09529	1.21464	6.73019	0	19.7214	38.3692	3.67675	56.3181	0	13.3943	19.6973	0	10.3463	15.5702	1.6405	1.42515	3.68746	9.09518	2.44223	12.549	1.65931	3.14716	11.2865	11.5815	3.80511	27.2986	7.10872
PWY-7385: 1,3-propanediol biosynthesis (engineered)	0	0	0.382684	0	0.18013	0	8.29898	0	37.1614	0	1.07815	3.59421	6.62525	44.1157	3.56855	19.0583	1.20186	18.9091	0	4.89696	4.03731	3.43296	0	0	0	0	13.9889	79.3583	0	0	1.92096	0	1.29316	18.179	1.39537	12.2508	0.875387	0	0	38.6248	0	5.11702	0	11.8623	3.43619	156.78	10.9449	10.4029	0	1.834	0.763339	6.16028	1.97377	5.6961	1.64719	0	2.24007	78.8208	7.05735	19.0916	11.2719
PWY-7388: octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)	215.085	65.8588	218.144	40.909	170.211	33.453	124.229	133.086	470.569	87.5512	75.7424	37.3271	346.522	258.911	159.246	199.911	259.742	260.748	130.245	61.4185	43.8521	154.735	182.015	186.981	184.656	84.8416	457.313	218.515	43.3971	86.2551	67.6106	93.7166	10.3541	299.948	70.5201	75.8079	128.012	101.72	400.529	509.711	117.641	375.01	76.8355	323.573	392.261	588.913	103.366	136.242	246.211	140.395	68.3645	181.984	11.2259	439.008	81.3371	84.7088	105.886	343.724	211.122	267.277	336.895
PWY-7389: superpathway of anaerobic energy metabolism (invertebrates)	1.29679	0	1.67606	3.49483	37.2837	5.87969	25.8426	19.7541	20.1228	11.0998	14.7073	9.2803	11.8761	4.33051	3.5725	29.704	28.2309	17.6614	14.3022	3.75767	47.427	16.8481	0	7.71741	6.5812	0	4.79138	35.2781	18.4662	0	0	0	6.20079	46.5681	8.79877	2.0369	10.616	0	27.806	29.795	5.68418	34.5688	0	21.0243	26.0746	0	15.4877	22.563	2.72055	2.33852	6.1131	0	4.05344	16.4306	2.7182	5.22169	17.9844	8.4244	6.06651	37.8235	11.6388
PWY-7391: isoprene biosynthesis II (engineered)	2.68815	0	2.72575	0	0	0	0	0	0	0	1.14031	0	0.659226	0	4.77706	0	0	0	7.09398	0	0	0.43255	0	0	0	0	0	0	0	0	10.1395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.660352	0	0	0	0	0	1.12119	0	0	0	0	0	0	0
PWY-7392: taxadiene biosynthesis (engineered)	104.298	0	34.2177	95.8556	63.3202	83.6379	116.693	87.9104	34.1927	52.3461	101.18	65.9889	58.5574	196.114	83.7055	84.0843	35.9232	92.1126	142.53	56.8201	113.857	150.216	218.231	186.891	113.295	130.807	20.2015	68.5824	134.85	110.305	99.5068	116.543	148.066	119.073	87.8983	127.377	142.857	135.04	70.8832	156.59	101.387	134.023	0	69.0813	155.431	53.3167	41.0254	36.9883	212.056	165.655	97.8643	208.096	11.6894	121.691	150.567	108.059	50.7539	104.295	122.952	76.1083	62.4054
PWY-7399: methylphosphonate degradation II	0	0	0.415586	0	0.432899	0	0	0	0	0	0	0	0.649111	0	0	0	0	0	0	0	0	0	0	0.673496	0	0	0	0	0	0	0	0	0	0.432897	0	0.348621	0.438974	0	0	0	0	0	0	4.41155	0	0	0	0	0	0.448666	0	0	0	1.91063	1.34338	0	1.00535	1.83696	0	0	0
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	392.243	397.706	282.349	281.278	379.167	399.621	309.775	362.028	264.852	384.401	388.969	242.541	296.272	365.685	335.265	363.209	299.231	264.974	365.169	346.915	281.161	369.639	240.111	237.35	301.937	117.19	292.561	314.942	375.668	319.143	359.185	303.328	190.664	225.411	310.936	254.42	238.127	233.414	293.82	248.278	317.029	215.921	254.302	315.982	278.812	339.185	468.088	312.641	343.364	299.435	337.158	190.072	385.345	253.511	212.016	293.798	403.991	354.413	338.74	219.987	215.688
PWY-7409: phospholipid remodeling (phosphatidylethanolamine, yeast)	0	0	0	0	0	0	0	0	44.077	0	0	0	0	0	0	4.23945	0	0	0	0.318485	0	0	0	0	0	0	50.0047	0	0	0	0	0	0	11.152	0	0.943784	0	0	0	3.94748	0	0	0	4.26066	1.56307	14.7328	1.39636	3.35583	0	0	0	1.9189	0	0	0	0	0	8.13803	1.93061	1.96797	10.6664
PWY-7411: phosphatidate biosynthesis (yeast)	0	0	0	0	0	0	0	0	0	0	0	0	0	0.492742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7431: aromatic biogenic amine degradation (bacteria)	0	0	0.50085	0	0	0	0	0	0	0	0	0	0	0	1.98223	0	0	0	2.73149	0	0	0	0	0	0	0	0	0	0	0	2.04084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.4464
PWY-7446: sulfoglycolysis	0	0	0.439225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7446: sulfoquinovose degradation I	0	0	0	0	2.46698	0	3.15233	0	51.7274	0	0	0	27.2857	11.8375	0.442172	3.298	27.9032	4.404	0	0.2911	0	0.81991	0	0	0	0	96.3861	6.9131	0	0	0	0	0	14.019	0	0.822782	0	0	0	17.0858	0	28.9611	0	26.0905	9.73253	73.9138	2.21774	4.08079	0	0	0	2.16758	0	38.7232	0	0	3.25279	10.3585	3.5528	3.58649	13.2887
PWY-7456: &beta;-(1,4)-mannan degradation	218.806	0	0	139.953	83.7335	68.4978	128.675	95.0748	93.1208	118.615	109.435	56.2966	130.75	77.2836	125.313	48.2874	76.5723	142.743	117.738	152.258	96.2937	107.851	61.6617	93.0306	134.995	255.069	38.5646	66.9199	90.1991	128.849	123.843	66.4317	129.351	87.2985	117.547	78.4464	121.723	119.9	81.7001	90.203	107.752	120.78	48.452	84.9676	54.2953	5.16638	94.3941	98.9805	62.5115	82.5204	123.67	39.5777	104.933	82.4819	64.3566	108.049	98.7746	44.9285	135.536	80.6702	75.9451
PWY-7456: mannan degradation	0	115.588	115.966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7511: protein ubiquitination	0	0	0	0	0	0	0	0	0	0	0	0	0	0.537626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-7539: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	150.599	281.652	331.697	184.293	125.713	146.956	216.841	111.01	150.495	127.684	159.523	405.38	154.865	196.545	147.942	132.643	118.415	155.029	194.76	120.9	192.534	234.168	291.681	333.117	241.384	393.915	178.354	174.532	271.614	185.881	153.057	239.437	323.712	146.732	218.228	285.384	207.593	280.925	305.917	249.005	232.937	199.318	108.719	116.407	233.859	144.725	85.8878	118.421	235.684	252.631	148.542	286.827	265.159	173.229	346.224	218.408	140.968	151.005	206.739	152.484	212.984
PWY-7560: methylerythritol phosphate pathway II	186.866	27.0016	29.3557	229.699	307.496	237.394	238.976	211.385	252.492	342.983	318.889	141.095	255.931	337.74	170.413	232.989	213.588	276.026	303.434	214.749	191.991	262.463	281.157	269.403	166.45	373.058	246.422	240.216	224.693	199.883	248.114	300.506	289.817	207.213	201.057	280.589	248.191	218.929	314.291	192.691	252.052	218.676	279.378	253.873	198.189	274.972	329.151	272.184	302.649	303.78	214.497	345.434	236.088	257.356	273.629	218.285	314.957	364.221	313.279	191.877	201.71
PWY-7616: methanol oxidation to carbon dioxide	0	0.695851	0	0	0	0	0	0	2.6086	0	0	0	2.289	4.58937	0.663805	0	0.592851	0	1.77787	0.235704	0	1.55749	0	0	0	0	11.9274	3.27698	0	0	0	0	0	0	0	0.752485	0	0	0.465988	24.4222	0	0	0	5.25163	1.31944	35.5056	0	0	0	2.54026	0	0	0	1.38667	0	0	0.954705	3.57444	2.4079	11.8019	5.22708
